ags,pv,wind_on,biomass,water
01055028,1156.2179999999998,306.0,618.0,0.0
01055032,2282.469999999999,26350.0,800.0,0.0
01055033,1808.6469999999995,0.0,1126.0,0.0
01055035,1912.3499999999997,0.0,694.0,0.0
01055040,1762.76,38600.0,1010.0,0.0
01055041,2604.443999999999,0.0,0.0,0.0
01055042,341.24399999999997,0.0,0.0,0.0
01055044,1736.447,11650.0,1581.0,18.0
01055046,30575.900999999943,176455.0,2092.0,0.0
01055014,352.13500000000005,36900.0,527.0,0.0
01055015,2474.825,33225.0,0.0,0.0
01055017,1132.269,0.0,250.0,0.0
01055022,1030.9599999999998,17040.0,0.0,0.0
01055031,797.1800000000002,11350.0,0.0,0.0
01055043,1302.7750000000003,1500.0,624.0,0.0
01055006,71.03,6700.0,0.0,0.0
01055011,322.26000000000005,9100.0,1702.0,0.0
01055020,630.9600000000002,7600.0,400.0,0.0
01055023,179.27,6000.0,0.0,0.0
01055027,1597.965,13747.0,0.0,0.0
01055029,104.64,0.0,0.0,0.0
01055036,906.379,15252.0,0.0,0.0
01055002,1194.65,19700.0,75.0,0.0
01055024,2027.7649999999999,18410.0,0.0,0.0
01055037,1107.375,13760.0,0.0,0.0
01055038,1112.44,0.0,0.0,0.0
01055039,1148.2999999999997,0.0,0.0,0.0
01056002,788.8680000000002,0.0,0.0,0.0
01056005,703.3850000000001,0.0,75.0,0.0
01056015,3291.8480000000004,0.0,410.0,0.0
01056018,737.142,0.0,603.0,0.0
01056021,321.985,10.0,0.0,0.0
01056025,117.22,0.0,0.0,0.0
01056039,2450.876,0.0,0.0,0.0
01056041,1314.167,0.0,1704.0,0.0
01056043,1244.98,0.0,504.0,0.0
01056044,688.693,0.0,0.0,0.0
01056048,2781.424,0.0,1737.0,0.0
01056049,814.4070000000002,0.0,0.0,0.0
01056050,1886.6829999999995,0.0,15.0,0.0
01056029,323.168,0.0,0.0,0.0
01056030,1606.3079999999995,0.0,2217.0,0.0
