ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
202616;14226-0062;Saarschmiede GmbH Freiformschmiede;Schmiede 1;SL;66333;Völklingen;Völklingen;59.383;11;Verarbeitung von Eisenmetallen;NACE 25.50;;10041519;1
202690;14226-0069;Saarstahl AG;Walzwerk Burbach;SL;66333;Völklingen;Völklingen;58.862;11;Verarbeitung von Eisenmetallen;NACE 24.10;;10041519;1
202686;14226-0093;Saarschmiede GmbH Freiformschmiede;Schmiede 2 (Forge);SL;66333;Völklingen;Völklingen;336;11;Verarbeitung von Eisenmetallen;NACE 25.50;;10041519;1
840;14310-0244;STEAG GmbH;Heizwerk Fenne I;SL;66333;Völklingen;Völklingen;1.397;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;10041519;1
851;14310-0256;STEAG GmbH;Modellkraftwerk Völklingen;SL;66333;Völklingen;Völklingen;367.877;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;10041519;1
889;14310-0298;STEAG GmbH;Heizkraftwerk Völklingen;SL;66333;Völklingen;Völklingen;646.315;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;10041519;1
1329;14310-0782;Saarstahl AG;Dampfkesselanlage Saarstahl AG;SL;66333;Völklingen;Völklingen;23.641;3;Energieumwandlung 20–50 MW FWL;NACE 24.10;;10041519;1
845;14310-0249;STEAG GmbH;Kraftwerk Weiher III;SL;66287;Quierschied;Quierschied;24.624;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;10041516;1
1360;14310-0815;LaminatePark GmbH & Co. KG;Heizzentrale;SL;66265;Heusweiler;Heusweiler;10.066;3;Energieumwandlung 20–50 MW FWL;NACE 16.21;;10041513;1
204904;14226-0057;Saint-Gobain PAM Deutschland GmbH;Eisengießerei;SL;66130;Saarbrücken;Saarbrücken;39.441;11;Verarbeitung von Eisenmetallen;NACE 24.51;;10041100;2
206001;14226-0058;Neue Halberg-Guss GmbH;Eisengießerei für Maschinenguss;SL;66130;Saarbrücken;Saarbrücken;72.500;11;Verarbeitung von Eisenmetallen;NACE 24.51;;10041100;2
645;14310-0028;ZF Friedrichshafen AG;Feuerungsanlage ZF;SL;66117;Saarbrücken;Saarbrücken;9.456;3;Energieumwandlung 20–50 MW FWL;NACE 29.32;;10041100;2
