,ags,description,ags_state_digits,state,name
10689,16071006,Bechstedtstraß,16,TH,Bechstedtstraß
10690,16071012,Daasdorf a. Berge,16,TH,Daasdorf a. Berge
10691,16071034,Hopfgarten,16,TH,Hopfgarten
10692,16071036,Isseroda,16,TH,Isseroda
10693,16071057,Mönchenholzhausen,16,TH,Mönchenholzhausen
10694,16071065,Niederzimmern,16,TH,Niederzimmern
10695,16071067,Nohra,16,TH,Nohra
10696,16071073,Ottstedt a. Berge,16,TH,Ottstedt a. Berge
10697,16071088,Troistedt,16,TH,Troistedt
10698,16071005,Ballstedt,16,TH,Ballstedt
10699,16071007,Berlstedt,16,TH,Berlstedt
10700,16071011,"Buttelstedt, Stadt",16,TH,Buttelstedt
10701,16071017,Ettersburg,16,TH,Ettersburg
10702,16071023,Großobringen,16,TH,Großobringen
10703,16071028,Heichelheim,16,TH,Heichelheim
10704,16071039,Kleinobringen,16,TH,Kleinobringen
10705,16071047,Krautheim,16,TH,Krautheim
10706,16071051,Leutenthal,16,TH,Leutenthal
10707,16071061,"Neumark, Stadt",16,TH,Neumark
10708,16071076,Ramsla,16,TH,Ramsla
10709,16071081,Rohrbach,16,TH,Rohrbach
10710,16071082,Sachsenhausen,16,TH,Sachsenhausen
10711,16071085,Schwerstedt,16,TH,Schwerstedt
10712,16071092,Vippachedelhausen,16,TH,Vippachedelhausen
10713,16071097,Wohlsborn,16,TH,Wohlsborn
10714,16071004,"Bad Sulza, Stadt",16,TH,Bad Sulza
10715,16071015,Eberstedt,16,TH,Eberstedt
10716,16071022,Großheringen,16,TH,Großheringen
10717,16071044,Ködderitzsch,16,TH,Ködderitzsch
10718,16071064,Niedertrebra,16,TH,Niedertrebra
10719,16071069,Obertrebra,16,TH,Obertrebra
10720,16071077,Rannstedt,16,TH,Rannstedt
10721,16071083,Schmiedehausen,16,TH,Schmiedehausen
10722,16071099,Saaleplatte,16,TH,Saaleplatte
10723,16071048,Kromsdorf,16,TH,Kromsdorf
10724,16071101,Ilmtal-Weinstraße,16,TH,Ilmtal-Weinstraße
10725,16072011,"Lauscha, Stadt",16,TH,Lauscha
10726,16072018,"Sonneberg, Stadt",16,TH,Sonneberg
10727,16072019,"Steinach, Stadt",16,TH,Steinach
10728,16072023,Frankenblick,16,TH,Frankenblick
10729,16072024,Föritztal,16,TH,Föritztal
10730,16072001,Bachfeld,16,TH,Bachfeld
10731,16072015,"Schalkau, Stadt",16,TH,Schalkau
10732,16072006,Goldisthal,16,TH,Goldisthal
10733,16072013,"Neuhaus am Rennweg, Stadt",16,TH,Neuhaus am Rennweg
10734,16073005,"Bad Blankenburg, Stadt",16,TH,Bad Blankenburg
10735,16073076,"Rudolstadt, Stadt",16,TH,Rudolstadt
10736,16073077,"Saalfeld/Saale, Stadt",16,TH,Saalfeld/Saale
10737,16073105,"Remda-Teichel, Stadt",16,TH,Remda-Teichel
10738,16073106,"Leutenberg, Stadt",16,TH,Leutenberg
10739,16073109,Uhlstädt-Kirchhasel,16,TH,Uhlstädt-Kirchhasel
10740,16073111,Unterwellenborn,16,TH,Unterwellenborn
10741,16073112,"Königsee-Rottenbach, Stadt",16,TH,Königsee-Rottenbach
10742,16073013,Cursdorf,16,TH,Cursdorf
10743,16073014,Deesbach,16,TH,Deesbach
10744,16073037,Katzhütte,16,TH,Katzhütte
10745,16073056,Meuselbach-Schwarzmühle,16,TH,Meuselbach-Schwarzmühle
10746,16073065,"Oberweißbach/Thür. Wald, Stadt",16,TH,Oberweißbach/Thür. Wald
10747,16073049,Lichte,16,TH,Lichte
10748,16073066,Piesau,16,TH,Piesau
10749,16073068,Reichmannsdorf,16,TH,Reichmannsdorf
10750,16073079,Schmiedefeld,16,TH,Schmiedefeld
10751,16073001,Allendorf,16,TH,Allendorf
10752,16073006,Bechstedt,16,TH,Bechstedt
10753,16073017,Döschnitz,16,TH,Döschnitz
10754,16073021,Dröbischau,16,TH,Dröbischau
10755,16073054,Mellenbach-Glasbach,16,TH,Mellenbach-Glasbach
10756,16073055,Meura,16,TH,Meura
10757,16073063,Oberhain,16,TH,Oberhain
10758,16073074,Rohrbach,16,TH,Rohrbach
10759,16073082,Schwarzburg,16,TH,Schwarzburg
10760,16073084,Sitzendorf,16,TH,Sitzendorf
10761,16073094,Unterweißbach,16,TH,Unterweißbach
10762,16073028,"Gräfenthal, Stadt",16,TH,Gräfenthal
10763,16073046,"Lehesten, Stadt",16,TH,Lehesten
10764,16073067,Probstzella,16,TH,Probstzella
10765,16073002,Altenbeuthen,16,TH,Altenbeuthen
10766,16073035,Hohenwarte,16,TH,Hohenwarte
10767,16073038,Kaulsdorf,16,TH,Kaulsdorf
10768,16073107,Drognitz,16,TH,Drognitz
10769,16074044,"Kahla, Stadt",16,TH,Kahla
10770,16074012,Crossen an der Elster,16,TH,Crossen an der Elster
10771,16074038,Hartmannsdorf,16,TH,Hartmannsdorf
10772,16074039,Heideland,16,TH,Heideland
10773,16074072,Rauda,16,TH,Rauda
10774,16074092,Silbitz,16,TH,Silbitz
10775,16074106,Walpernhain,16,TH,Walpernhain
10776,16074116,"Schkölen, Stadt",16,TH,Schkölen
10777,16074007,Bremsnitz,16,TH,Bremsnitz
10778,16074017,Eineborn,16,TH,Eineborn
10779,16074022,Geisenhain,16,TH,Geisenhain
10780,16074024,Gneus,16,TH,Gneus
10781,16074029,Großbockedra,16,TH,Großbockedra
10782,16074045,Karlsdorf,16,TH,Karlsdorf
10783,16074046,Kleinbockedra,16,TH,Kleinbockedra
10784,16074047,Kleinebersdorf,16,TH,Kleinebersdorf
10785,16074053,Lippersdorf-Erdmannsdorf,16,TH,Lippersdorf-Erdmannsdorf
10786,16074056,Meusebach,16,TH,Meusebach
10787,16074064,Oberbodnitz,16,TH,Oberbodnitz
10788,16074066,Ottendorf,16,TH,Ottendorf
10789,16074071,Rattelsdorf,16,TH,Rattelsdorf
10790,16074074,Rausdorf,16,TH,Rausdorf
10791,16074077,Renthendorf,16,TH,Renthendorf
10792,16074097,Tautendorf,16,TH,Tautendorf
10793,16074101,Tissa,16,TH,Tissa
10794,16074102,Trockenborn-Wolfersdorf,16,TH,Trockenborn-Wolfersdorf
10795,16074103,Tröbnitz,16,TH,Tröbnitz
10796,16074104,Unterbodnitz,16,TH,Unterbodnitz
10797,16074107,Waltersdorf,16,TH,Waltersdorf
10798,16074108,Weißbach,16,TH,Weißbach
10799,16074002,Altenberga,16,TH,Altenberga
10800,16074004,Bibra,16,TH,Bibra
10801,16074008,Bucha,16,TH,Bucha
10802,16074016,Eichenberg,16,TH,Eichenberg
10803,16074021,Freienorla,16,TH,Freienorla
10804,16074031,Großeutersdorf,16,TH,Großeutersdorf
10805,16074033,Großpürschütz,16,TH,Großpürschütz
10806,16074034,Gumperda,16,TH,Gumperda
10807,16074042,Hummelshain,16,TH,Hummelshain
10808,16074048,Kleineutersdorf,16,TH,Kleineutersdorf
10809,16074049,Laasdorf,16,TH,Laasdorf
10810,16074052,Lindig,16,TH,Lindig
10811,16074057,Milda,16,TH,Milda
10812,16074065,"Orlamünde, Stadt",16,TH,Orlamünde
10813,16074076,Reinstädt,16,TH,Reinstädt
10814,16074079,Rothenstein,16,TH,Rothenstein
10815,16074087,Schöps,16,TH,Schöps
10816,16074089,Seitenroda,16,TH,Seitenroda
10817,16074095,Sulza,16,TH,Sulza
10818,16074114,Zöllnitz,16,TH,Zöllnitz
10819,16074041,"Hermsdorf, Stadt",16,TH,Hermsdorf
10820,16074059,Mörsdorf,16,TH,Mörsdorf
10821,16074075,Reichenbach,16,TH,Reichenbach
10822,16074084,Schleifreisen,16,TH,Schleifreisen
10823,16074093,St.Gangloff,16,TH,St.Gangloff
10824,16074011,"Dornburg-Camburg, Stadt",16,TH,Dornburg-Camburg
10825,16074019,Frauenprießnitz,16,TH,Frauenprießnitz
10826,16074026,Golmsdorf,16,TH,Golmsdorf
10827,16074032,Großlöbichau,16,TH,Großlöbichau
10828,16074036,Hainichen,16,TH,Hainichen
10829,16074043,Jenalöbnitz,16,TH,Jenalöbnitz
10830,16074051,Lehesten,16,TH,Lehesten
10831,16074054,Löberschütz,16,TH,Löberschütz
10832,16074063,Neuengönna,16,TH,Neuengönna
10833,16074096,Tautenburg,16,TH,Tautenburg
10834,16074099,Thierschneck,16,TH,Thierschneck
10835,16074112,Wichmar,16,TH,Wichmar
10836,16074113,Zimmern,16,TH,Zimmern
10837,16074006,Bollberg,16,TH,Bollberg
10838,16074058,Möckern,16,TH,Möckern
10839,16074069,Quirla,16,TH,Quirla
10840,16074081,Ruttersdorf-Lotschen,16,TH,Ruttersdorf-Lotschen
10841,16074094,"Stadtroda, Stadt",16,TH,Stadtroda
10842,16074009,"Bürgel, Stadt",16,TH,Bürgel
10843,16074028,Graitschen b. Bürgel,16,TH,Graitschen b. Bürgel
10844,16074061,Nausnitz,16,TH,Nausnitz
10845,16074068,Poxdorf,16,TH,Poxdorf
10846,16074018,"Eisenberg, Stadt",16,TH,Eisenberg
10847,16074025,Gösen,16,TH,Gösen
10848,16074037,Hainspitz,16,TH,Hainspitz
10849,16074055,Mertendorf,16,TH,Mertendorf
10850,16074067,Petersberg,16,TH,Petersberg
10851,16074073,Rauschwitz,16,TH,Rauschwitz
10852,16074001,Albersdorf,16,TH,Albersdorf
10853,16074003,Bad Klosterlausnitz,16,TH,Bad Klosterlausnitz
10854,16074005,Bobeck,16,TH,Bobeck
10855,16074082,Scheiditz,16,TH,Scheiditz
10856,16074085,Schlöben,16,TH,Schlöben
10857,16074086,Schöngleina,16,TH,Schöngleina
10858,16074091,Serba,16,TH,Serba
10859,16074098,Tautenhain,16,TH,Tautenhain
10860,16074105,Waldeck,16,TH,Waldeck
10861,16074109,Weißenborn,16,TH,Weißenborn
10862,16075046,"Hirschberg, Stadt",16,TH,Hirschberg
10863,16075062,"Bad Lobenstein, Stadt",16,TH,Bad Lobenstein
10864,16075085,"Pößneck, Stadt",16,TH,Pößneck
10865,16075098,"Schleiz, Stadt",16,TH,Schleiz
10866,16075131,"Gefell, Stadt",16,TH,Gefell
10867,16075132,"Tanna, Stadt",16,TH,Tanna
10868,16075133,"Wurzbach, Stadt",16,TH,Wurzbach
10869,16075135,"Saalburg-Ebersdorf, Stadt",16,TH,Saalburg-Ebersdorf
10870,16075008,Bucha,16,TH,Bucha
10871,16075014,Dittersdorf,16,TH,Dittersdorf
10872,16075018,Dreba,16,TH,Dreba
10873,16075033,Görkwitz,16,TH,Görkwitz
10874,16075034,Göschitz,16,TH,Göschitz
10875,16075048,Kirschkau,16,TH,Kirschkau
10876,16075049,Knau,16,TH,Knau
10877,16075063,Löhma,16,TH,Löhma
10878,16075068,Moßbach,16,TH,Moßbach
10879,16075072,Neundorf (bei Schleiz),16,TH,Neundorf (bei Schleiz)
10880,16075076,Oettersdorf,16,TH,Oettersdorf
10881,16075083,Plothen,16,TH,Plothen
10882,16075084,Pörmitz,16,TH,Pörmitz
10883,16075109,Tegau,16,TH,Tegau
10884,16075119,Volkmannsdorf,16,TH,Volkmannsdorf
10885,16075006,Bodelwitz,16,TH,Bodelwitz
10886,16075016,Döbritz,16,TH,Döbritz
10887,16075031,Gertewitz,16,TH,Gertewitz
10888,16075039,Grobengereuth,16,TH,Grobengereuth
10889,16075054,Langenorla,16,TH,Langenorla
10890,16075056,Lausnitz b. Neustadt an der Orla,16,TH,Lausnitz b. Neustadt an der Orla
10891,16075074,Nimritz,16,TH,Nimritz
10892,16075075,Oberoppurg,16,TH,Oberoppurg
10893,16075077,Oppurg,16,TH,Oppurg
10894,16075087,Quaschwitz,16,TH,Quaschwitz
10895,16075105,Solkwitz,16,TH,Solkwitz
10896,16075121,Weira,16,TH,Weira
10897,16075124,Wernburg,16,TH,Wernburg
10898,16075002,Birkenhügel,16,TH,Birkenhügel
10899,16075003,Blankenberg,16,TH,Blankenberg
10900,16075004,Blankenstein,16,TH,Blankenstein
10901,16075042,Harra,16,TH,Harra
10902,16075071,Neundorf (bei Lobenstein),16,TH,Neundorf (bei Lobenstein)
10903,16075086,Pottiga,16,TH,Pottiga
10904,16075097,Schlegel,16,TH,Schlegel
10905,16075019,Dreitzsch,16,TH,Dreitzsch
10906,16075029,Geroda,16,TH,Geroda
10907,16075057,Lemnitz,16,TH,Lemnitz
10908,16075065,Miesitz,16,TH,Miesitz
10909,16075066,Mittelpöllnitz,16,TH,Mittelpöllnitz
10910,16075093,Rosendorf,16,TH,Rosendorf
10911,16075099,Schmieritz,16,TH,Schmieritz
10912,16075114,Tömmelsdorf,16,TH,Tömmelsdorf
10913,16075116,"Triptis, Stadt",16,TH,Triptis
10914,16075013,Crispendorf,16,TH,Crispendorf
10915,16075023,Eßbach,16,TH,Eßbach
10916,16075035,Gössitz,16,TH,Gössitz
10917,16075047,Keila,16,TH,Keila
10918,16075069,Moxa,16,TH,Moxa
10919,16075079,Paska,16,TH,Paska
10920,16075081,Peuschen,16,TH,Peuschen
10921,16075088,"Ranis, Stadt",16,TH,Ranis
10922,16075101,Schmorda,16,TH,Schmorda
10923,16075102,Schöndorf,16,TH,Schöndorf
10924,16075103,Seisla,16,TH,Seisla
10925,16075125,Wilhelmsdorf,16,TH,Wilhelmsdorf
10926,16075127,"Ziegenrück, Stadt",16,TH,Ziegenrück
10927,16075129,Krölpa,16,TH,Krölpa
10928,16075051,Kospoda,16,TH,Kospoda
10929,16075061,Linda b. Neustadt an der Orla,16,TH,Linda b. Neustadt an der Orla
10930,16075073,"Neustadt an der Orla, Stadt",16,TH,Neustadt an der Orla
10931,16075106,Stanau,16,TH,Stanau
10932,16075009,Burgk,16,TH,Burgk
10933,16075134,Remptendorf,16,TH,Remptendorf
10934,16076004,"Berga/Elster, Stadt",16,TH,Berga/Elster
10935,16076061,"Ronneburg, Stadt",16,TH,Ronneburg
10936,16076088,Harth-Pöllnitz,16,TH,Harth-Pöllnitz
10937,16076089,Kraftsdorf,16,TH,Kraftsdorf
10938,16076092,"Auma-Weidatal, Stadt",16,TH,Auma-Weidatal
10939,16076093,Mohlsdorf-Teichwolframsdorf,16,TH,Mohlsdorf-Teichwolframsdorf
10940,16076009,Braunichswalde,16,TH,Braunichswalde
10941,16076017,Endschütz,16,TH,Endschütz
10942,16076019,Gauern,16,TH,Gauern
10943,16076027,Hilbersdorf,16,TH,Hilbersdorf
10944,16076034,Kauern,16,TH,Kauern
10945,16076043,Linda b. Weida,16,TH,Linda b. Weida
10946,16076055,Paitzdorf,16,TH,Paitzdorf
10947,16076062,Rückersdorf,16,TH,Rückersdorf
10948,16076069,Seelingstädt,16,TH,Seelingstädt
10949,16076074,Teichwitz,16,TH,Teichwitz
10950,16076084,Wünschendorf/Elster,16,TH,Wünschendorf/Elster
10951,16076007,Bocka,16,TH,Bocka
10952,16076033,Hundhaupten,16,TH,Hundhaupten
10953,16076042,Lederhose,16,TH,Lederhose
10954,16076044,Lindenkreuz,16,TH,Lindenkreuz
10955,16076049,"Münchenbernsdorf, Stadt",16,TH,Münchenbernsdorf
10956,16076064,Saara,16,TH,Saara
10957,16076068,Schwarzbach,16,TH,Schwarzbach
10958,16076086,Zedlitz,16,TH,Zedlitz
10959,16076006,Bethenhausen,16,TH,Bethenhausen
10960,16076008,Brahmenau,16,TH,Brahmenau
10961,16076023,Großenstein,16,TH,Großenstein
10962,16076028,Hirschfeld,16,TH,Hirschfeld
10963,16076036,Korbußen,16,TH,Korbußen
10964,16076058,Pölzig,16,TH,Pölzig
10965,16076059,Reichstädt,16,TH,Reichstädt
10966,16076067,Schwaara,16,TH,Schwaara
10967,16076003,"Bad Köstritz, Stadt",16,TH,Bad Köstritz
10968,16076012,Caaschwitz,16,TH,Caaschwitz
10969,16076026,Hartmannsdorf,16,TH,Hartmannsdorf
10970,16076022,"Greiz, Stadt",16,TH,Greiz
10971,16076052,Neumühle/Elster,16,TH,Neumühle/Elster
10972,16076014,Crimla,16,TH,Crimla
10973,16076079,"Weida, Stadt",16,TH,Weida
10974,16076041,Langenwolschendorf,16,TH,Langenwolschendorf
10975,16076081,Weißendorf,16,TH,Weißendorf
10976,16076087,"Zeulenroda-Triebes, Stadt",16,TH,Zeulenroda-Triebes
