ags,description
01058042,Dörphof
01058043,"Eckernförde, Stadt"
01058044,Ehndorf
01058045,Eisendorf
01058046,Ellerdorf
01058047,Elsdorf-Westermühlen
01058048,Embühren
01058049,Emkendorf
01058050,Felde
01058051,Felm
01058052,Fleckeby
01058053,Flintbek
01058054,Fockbek
01058055,Friedrichsgraben
01058056,Friedrichsholm
01058057,Gammelby
01058058,Gettorf
01058059,Gnutz
01058061,Gokels
01058062,Grauel
01058063,Grevenkrug
01058064,Groß Buchwald
01058065,Groß Vollstedt
01058066,Groß Wittensee
01058067,Güby
01058068,Haale
01058069,Haby
01058070,Hamdorf
01058071,Hamweddel
01058072,Hanerau-Hademarschen
01058073,Haßmoor
01058074,Heinkenborstel
01058075,Hörsten
01058076,Hoffeld
01058077,Hohenwestedt
01058078,Hohn
01058080,Holtsee
01058081,Holzbunge
01058082,Holzdorf
01058083,Hütten
01058084,Hummelfeld
01058085,Jahrsdorf
01058086,Jevenstedt
01058087,Karby
01058088,Klein Wittensee
01058089,Königshügel
01058090,Kosel
01058091,Krogaspe
01058092,Kronshagen
01058093,Krummwisch
01058094,Langwedel
01058096,Lindau
01058097,Lohe-Föhrden
01058098,Loop
01058099,Loose
01058100,Lütjenwestedt
01058101,Luhnstedt
01058102,Goosefeld
01058103,Meezen
01058104,Melsdorf
01058105,Mielkendorf
01058106,Mörel
01058107,Molfsee
01058108,Mühbrook
01058109,Negenharrie
01058110,Neudorf-Bornstein
01058111,Neu Duvenstedt
01058112,Neuwittenbek
01058113,Nienborstel
01058115,Nindorf
01058116,Noer
01058117,"Nortorf, Stadt"
01058118,Nübbel
01058119,Oldenbüttel
01058120,Oldenhütten
01058121,Osdorf
01058122,Ostenfeld (Rendsburg)
01058123,Osterby
01058124,Osterrönfeld
01058125,Osterstedt
01058126,Ottendorf
01058127,Owschlag
01058128,Padenstedt
01058129,Prinzenmoor
01058130,Quarnbek
01058131,Rade b. Hohenwestedt
01058132,Rade b. Rendsburg
01058133,Reesdorf
01058134,Remmels
01058135,"Rendsburg, Stadt"
01058136,Rickert
01058137,Rieseby
01058138,Rodenbek
01058139,Rumohr
01058140,Schacht-Audorf
01058141,Schierensee
01058142,Schinkel
01058143,Schmalstede
01058144,Schönbek
01058145,Schönhorst
01058146,Schülldorf
01058147,Schülp b. Nortorf
01058148,Schülp b. Rendsburg
01058150,Schwedeneck
01058151,Seefeld
01058152,Sehestedt
01058153,Sören
01058154,Sophienhamm
01058155,Stafstedt
01058156,Steenfeld
01058157,Strande
01058158,Tackesdorf
01058159,Tappendorf
01058160,Techelsdorf
01058161,Thaden
01058162,Thumby
01058163,Timmaspe
01058164,Todenbüttel
01058165,Tüttendorf
01058166,Waabs
01058167,Wapelfeld
01058168,Warder
01058169,Wasbek
01058170,Wattenbek
01058171,Westensee
01058172,Westerrönfeld
01058173,Windeby
01058174,Winnemark
01058175,Ahlefeld-Bistensee
01059000,"Schleswig-Flensburg, (Kreis)"
01059001,Alt Bennebek
01059002,"Arnis, Stadt"
01059005,Bergenhusen
01059006,Böel
01059008,Böklund
01059009,Börm
01059010,Bollingstedt
01059012,Borgwedel
01059018,Busdorf
01059019,Dannewerk
01059020,Dörpstedt
01059023,Ellingstedt
01059024,Erfde
01059026,Fahrdorf
01059032,Geltorf
01059034,Grödersby
01059035,Groß Rheide
01059037,Havetoft
01059039,Hollingstedt
01059041,Hüsby
01059042,Idstedt
01059043,Jagel
01059044,Jübek
01059045,"Kappeln, Stadt"
01059049,Klappholz
01059050,Klein Bennebek
01059051,Klein Rheide
01059053,Kropp
01059055,Loit
01059056,Lottorf
01059057,Lürschau
01059058,Meggerdorf
01059060,Mohrkirch
01059062,Neuberend
01059063,Norderbrarup
01059065,Nottfeld
01059067,Oersberg
01059068,Rabenkirchen-Faulück
01059070,Rügge
01059072,Saustrup
01059073,Schaalby
01059074,Scheggerott
01059075,"Schleswig, Stadt"
01059076,Schnarup-Thumby
01059077,Schuby
01059078,Selk
01059079,Silberstedt
01059080,Steinfeld
01059081,Stolk
01059082,Struxdorf
01059083,Süderbrarup
01059084,Süderfahrenstedt
01059086,Taarstedt
01059087,Tetenhusen
01059088,Tielen
01059090,Tolk
01059092,Treia
01059093,Uelsby
01059094,Ulsnis
01059095,Wagersrott
01059096,Wohlde
01059097,Twedt
01059098,Nübel
01059101,Tastrup
01059102,Ahneby
01059103,Ausacker
01059105,Böxlund
01059106,Dollerup
01059107,Eggebek
01059109,Esgrus
01059112,Gelting
01059113,"Glücksburg (Ostsee), Stadt"
01059115,Großenwiehe
01059116,Großsolt
01059118,Grundhof
01059120,Harrislee
01059121,Hasselberg
01059123,Hörup
01059124,Holt
01059126,Hürup
01059127,Husby
01059128,Janneby
01059129,Jardelund
01059131,Jerrishoe
01059132,Jörl
01059136,Kronsgaard
01059137,Langballig
01059138,Langstedt
01059141,Maasbüll
01059142,Maasholm
01059143,Medelby
01059144,Meyn
01059145,Munkbrarup
01059147,Nieby
01059148,Niesgrau
01059149,Nordhackstedt
01059151,Osterby
01059152,Pommerby
01059154,Rabel
01059155,Rabenholz
01059157,Ringsberg
01059158,Schafflund
01059159,Sieverstedt
01059161,Sörup
01059162,Sollerup
01059163,Stangheck
01059164,Steinberg
01059167,Sterup
01059168,Stoltebüll
01059169,Süderhackstedt
01059171,Tarp
01059173,Wallsbüll
01059174,Wanderup
01059176,Wees
01059177,Weesby
01059178,Westerholz
01059179,Lindewitt
01059182,Freienwill
01059183,Handewitt
01059184,Oeversee
01059185,Mittelangeln
01059186,Steinbergkirche
01059187,Boren
01059188,Stapel
01059189,Brodersby-Goltoft
01060000,"Segeberg, (Kreis)"
01060002,Alveslohe
01060003,Armstedt
01060004,"Bad Bramstedt, Stadt"
01060005,"Bad Segeberg, Stadt"
01060006,Bahrenhof
01060007,Bark
01060008,Bebensee
01060009,Bimöhlen
01060010,Blunk
01060011,Boostedt
01060012,Bornhöved
01060013,Borstel
01060015,Bühnsdorf
01060016,Daldorf
01060017,Damsdorf
01060018,Dreggers
01060019,Ellerau
01060020,Fahrenkrug
01060021,Föhrden-Barl
01060022,Fredesdorf
01060023,Fuhlendorf
01060024,Geschendorf
01060025,Glasau
01060026,Gönnebek
01060027,Großenaspe
01060028,Groß Kummerfeld
01060029,Groß Niendorf
01060030,Groß Rönnau
01060031,Hagen
01060033,Hardebek
01060034,Hartenholm
01060035,Hasenkrug
01060036,Hasenmoor
01060037,Heidmoor
01060038,Heidmühlen
01060039,Henstedt-Ulzburg
01060040,Hitzhusen
01060041,Högersdorf
01060042,Hüttblek
01060043,Itzstedt
01060044,"Kaltenkirchen, Stadt"
01060045,Kattendorf
01060046,Kayhude
01060047,Kisdorf
01060048,Klein Gladebrügge
01060049,Klein Rönnau
01060050,Krems II
01060051,Kükels
01060052,Latendorf
01060053,Leezen
01060054,Lentföhrden
01060056,Mönkloh
01060057,Mözen
01060058,Nahe
01060059,Negernbötel
01060060,Nehms
01060061,Neuengörs
01060062,Neversdorf
01060063,"Norderstedt, Stadt"
01060064,Nützen
01060065,Oering
01060066,Oersdorf
01060067,Pronstorf
01060068,Rickling
01060069,Rohlstorf
01060070,Schackendorf
01060071,Schieren
01060072,Schmalensee
01060073,Schmalfeld
01060074,Schwissel
01060075,Seedorf
01060076,Seth
01060077,Sievershütten
01060079,Stipsdorf
01060080,Stocksee
01060081,Strukdorf
01060082,Struvenhütten
01060084,Stuvenborn
01060085,Sülfeld
01060086,Tarbek
01060087,Tensfeld
01060088,Todesfelde
01060089,Trappenkamp
01060090,Travenhorst
01060091,Traventhal
01060092,"Wahlstedt, Stadt"
01060093,Wakendorf I
01060094,Wakendorf II
01060095,Weddelbrook
01060096,Weede
01060097,Wensin
01060098,Westerrade
01060099,Wiemersdorf
01060100,Winsen
01060101,Wittenborn
01061000,"Steinburg, (Kreis)"
01061001,Aasbüttel
01061002,Aebtissinwisch
01061003,Agethorst
01061004,Altenmoor
01061005,Auufer
01061006,Bahrenfleth
01061007,Beidenfleth
01061008,Bekdorf
01061010,Bekmünde
01061011,Besdorf
01061012,Blomesche Wildnis
01061013,Bokelrehm
01061014,Bokhorst
01061015,Borsfleth
01061016,Breitenberg
01061017,Breitenburg
01061018,Brokdorf
01061019,Brokstedt
01061020,Büttel
01061021,Christinenthal
01061022,Dägeling
01061023,Dammfleth
01061024,Drage
01061025,Ecklak
01061026,Elskop
01061027,Engelbrechtsche Wildnis
01061028,Fitzbek
01061029,"Glückstadt, Stadt"
01061030,Grevenkop
01061031,Gribbohm
01061033,Hadenfeld
01061034,Heiligenstedten
01061035,Heiligenstedtenerkamp
01061036,Hennstedt
01061037,Herzhorn
01061038,Hingstheide
01061039,Hodorf
01061040,Hohenaspe
01061041,Hohenfelde
01061042,Hohenlockstedt
01061043,Holstenniendorf
01061044,Horst (Holstein)
01061045,Huje
01061046,"Itzehoe, Stadt"
01061047,Kaaks
01061048,Kaisborstel
01061049,"Kellinghusen, Stadt"
01061050,Kiebitzreihe
01061052,Kleve
01061053,Kollmoor
01061054,Krempdorf
01061055,"Krempe, Stadt"
01061056,Kremperheide
01061057,Krempermoor
01061058,Kronsmoor
01061059,Krummendiek
01061060,Kudensee
01061061,Lägerdorf
01061062,Landrecht
01061063,Landscheide
01061064,Lockstedt
01061065,Lohbarbek
01061066,Looft
01061067,Mehlbek
01061068,Moordiek
01061070,Moorhusen
01061071,Mühlenbarbek
01061072,Münsterdorf
01061073,Neuenbrook
01061074,Neuendorf b. Elmshorn
01061076,Nienbüttel
01061077,Nortorf
01061078,Nutteln
01061079,Oelixdorf
01061080,Oeschebüttel
01061081,Oldenborstel
01061082,Oldendorf
01061083,Ottenbüttel
01061084,Peissen
01061085,Pöschendorf
01061086,Poyenberg
01061087,Puls
01061088,Quarnstedt
01061089,Rade
01061091,Reher
01061092,Rethwisch
01061093,Rosdorf
01061095,Sankt Margarethen
01061096,Sarlhusen
01061097,Schenefeld
01061098,Schlotfeld
01061100,Silzen
01061101,Sommerland
01061102,Stördorf
01061103,Störkathen
01061104,Süderau
01061105,Vaale
01061106,Vaalermoor
01061107,Wacken
01061108,Warringholz
01061109,Westermoor
01061110,Wewelsfleth
01061111,Wiedenborstel
01061112,Willenscharen
01061113,"Wilster, Stadt"
01061114,Winseldorf
01061115,Wittenbergen
01061116,Wrist
01061117,Wulfsmoor
01061118,Kollmar
01061119,Neuendorf-Sachsenbande
01062000,"Stormarn, (Kreis)"
01062001,"Ahrensburg, Stadt"
01062003,Badendorf
01062004,"Bad Oldesloe, Stadt"
01062005,Bargfeld-Stegen
01062006,"Bargteheide, Stadt"
01062008,Barnitz
01062009,Barsbüttel
01062011,Braak
01062014,Delingsdorf
01062016,Elmenhorst
01062018,"Glinde, Stadt"
01062019,Grabau
01062020,Grande
01062021,Grönwohld
01062022,Großensee
01062023,Großhansdorf
01062025,Hamberge
01062026,Hamfelde
01062027,Hammoor
01062031,Heidekamp
01062032,Heilshoop
01062033,Hohenfelde
01062035,Hoisdorf
01062036,Jersbek
01062039,Klein Wesenberg
01062040,Köthel
01062045,Lütjensee
01062046,Meddewade
01062048,Mönkhagen
01062050,Neritz
01062051,Nienwohld
01062053,Oststeinbek
01062056,Pölitz
01062058,Rausdorf
01062059,Rehhorst
01062060,"Reinbek, Stadt"
01062061,"Reinfeld (Holstein), Stadt"
01062062,Rethwisch
01062065,Rümpel
01062069,Siek
01062071,Stapelfeld
01062076,Tangstedt
01062078,Todendorf
01062081,Tremsbüttel
01062082,Trittau
01062083,Westerau
01062086,Witzhave
01062087,Zarpen
01062088,Brunsbek
01062089,Lasbek
01062090,Ammersbek
01062091,Steinburg
01062092,Travenbrück
01062093,Feldhorst
01062094,Wesenberg
02000000,"Hamburg, Freie und Hansestadt"
03000000,Niedersachsen
03101000,"Braunschweig, Stadt"
03102000,"Salzgitter, Stadt"
03103000,"Wolfsburg, Stadt"
03151000,"Gifhorn, (Landkreis)"
03151001,Adenbüttel
03151002,Barwedel
03151003,Bergfeld
03151004,Bokensdorf
03151005,"Brome, Flecken"
03151006,Calberlah
03151007,Dedelstorf
03151008,Ehra-Lessien
03151009,"Gifhorn, Stadt"
03151010,Groß Oesingen
03151011,Hankensbüttel
03151012,Hillerse
03151013,Isenbüttel
03151014,Jembke
03151015,Leiferde
03151016,Meine
03151017,Meinersen
03151018,Müden (Aller)
03151019,Obernholz
03151020,Osloß
03151021,Parsau
03151022,Ribbesbüttel
03151023,Rötgesbüttel
03151024,Rühen
03151025,Sassenburg
03151026,Schönewörde
03151027,Schwülper
03151028,Sprakensehl
03151029,Steinhorst
03151030,Tappenbeck
03151031,Tiddische
03151032,Tülau
03151033,Ummern
03151034,Vordorf
03151035,Wagenhoff
03151036,Wahrenholz
03151037,Wasbüttel
03151038,Wesendorf
03151039,Weyhausen
03151040,"Wittingen, Stadt"
03151041,Didderse
03153000,"Goslar, (Landkreis)"
03153002,"Bad Harzburg, Stadt"
03153008,Liebenburg
03153012,"Seesen, Stadt"
03153016,"Braunlage, Stadt"
03153017,"Goslar, Stadt"
03153018,"Clausthal-Zellerfeld, Berg- und Universitätsstadt"
03153019,"Langelsheim, Stadt"
03154000,"Helmstedt, (Landkreis)"
03154001,Bahrdorf
03154002,Beierstedt
03154004,Danndorf
03154005,Frellstedt
03154006,Gevensleben
03154007,Grafhorst
03154008,Grasleben
03154009,Groß Twülpstedt
03154012,Jerxheim
03154013,"Königslutter am Elm, Stadt"
03154014,Lehre
03154015,Mariental
03154016,Querenhorst
03154017,Räbke
03154018,Rennau
03154019,"Schöningen, Stadt"
03154021,Süpplingen
03154022,Süpplingenburg
03154024,Velpke
03154025,Warberg
